"id","descrizione","codiceIdentificativo"
"1","Infrastrutture digitali","M1C1I1.1"
"409","Sostegno alla qualificazione e eProcurement","M1C1I1.10"
"2","Abilitazione al cloud per le PA locali","M1C1I1.2"
"236","Dati e interoperabilità","M1C1I1.3"
"3","Piattaforma Digitale Nazionale Dati","M1C1I1.3.1"
"4","Sportello digitale unico","M1C1I1.3.2"
"237","Servizi digitali e esperienza dei cittadini","M1C1I1.4"
"5","Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali","M1C1I1.4.1"
"6","Inclusione dei cittadini -  Miglioramento dell'accessibilità dei servizi pubblici digitali","M1C1I1.4.2"
"7","Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione ""IO""","M1C1I1.4.3"
"8","Rafforzamento dell'adozione delle piattaforme nazionali di identità digitale (SPID, CIE) e dell'Anagrafe nazionale (ANPR)","M1C1I1.4.4"
"9","Digitalizzazione degli avvisi pubblici","M1C1I1.4.5"
"10","Mobilità come servizio per l'Italia","M1C1I1.4.6"
"11","Cybersecurity","M1C1I1.5"
"238","Digitalizzazione delle grandi amministrazioni centrali","M1C1I1.6"
"12","Digitalizzazione del Ministero dell'Interno","M1C1I1.6.1"
"13","Digitalizzazione del Ministero della Giustizia","M1C1I1.6.2"
"14","Digitalizzazione dell'Istituto Nazionale per la Previdenza Sociale (INPS) e dell'istituto nazionale per l'assicurazione contro gli I nfortuni sul Lavoro (INAIL)","M1C1I1.6.3"
"15","Digitalizzazione del Ministero della Difesa","M1C1I1.6.4"
"16","Digitalizzazione del Consiglio di Stato","M1C1I1.6.5"
"17","Digitalizzazione della Guardia di Finanza","M1C1I1.6.6"
"239","Competenze digitali di base","M1C1I1.7"
"18","Servizio Civile Digitale","M1C1I1.7.1"
"19","Rete dei servizi di facilitazione digitale","M1C1I1.7.2"
"403","Fornire assistenza tecnica e rafforzare la creazione di capacità per l'attuazione del PNRR","M1C1I1.9"
"240","Portale unico del reclutamento","M1C1I2.1"
"241","Creazione di una piattaforma unica di reclutamento","M1C1I2.1.1"
"20","Procedure per l'assunzione di profili tecnici","M1C1I2.1.2"
"242","Task Force digitalizzazione, monitoraggio e performance","M1C1I2.2"
"243","Assistenza tecnica a livello centrale e locale","M1C1I2.2.1"
"244","Semplificazione e standardizzazione delle procedure","M1C1I2.2.2"
"245","Digitalizzazione delle procedure (SUAP & SUE)","M1C1I2.2.3"
"246","Monitoraggio e comunicazione delle azioni di semplificazione","M1C1I2.2.4"
"247","Amministrazione pubblica orientata ai risultati","M1C1I2.2.5"
"249","Competenze: Competenze e capacità amministrativa","M1C1I2.3"
