"scadenza","misura"
"215","M1C1R1.1"
"216","M1C1R1.2.1"
"216","M1C1R1.2.2"
"217","M1C1R1.3"
"231","M1C1R3.1.1"
"232","M1C1R3.1.1"
"233","M1C1R3.1.1"
"234","M1C1R3.1.1"
"235","M1C1R3.1.1"
"236","M1C1R3.1.1"
"236","M1C1R3.1.2"
"237","M1C1R3.1.1"
"238","M1C1R3.1.2"
"239","M1C1R3.1.1"
"239","M1C1R3.1.2"
"239","M1C1R3.1.3"
"240","M1C1R3.1.2"
"241","M1C1R3.1.3"
"242","M1C1R3.1.4"
"243","M1C1R3.1.5"
"218","M1C1R1.9"
"218","M1C1R2.2"
"219","M1C1R2.2"
"219","M1C1R1.9"
"220","M1C1R1.9A"
"221","M1C1R1.9A"
"229","M1C1I2.1.1"
"229","M1C1R1.9"
"229","M1C1R2.1"
"229","M1C1R2.3.1"
"229","M1C1I2.1.2"
"229","M1C1I2.3.2"
"222","M1C1R2.2"
"222","M1C1R1.9"
"230","M1C1R1.9"
"230","M1C1R2.1"
"230","M1C1R2.3.1"
"230","M1C1I2.3.2"
"223","M1C1R2.3.1"
"223","M1C1R1.9"
"223","M1C1I2.3.2"
"224","M1C1I2.2.3"
"224","M1C1R2.2"
"224","M1C1R1.9"
"226","M1C1R1.9A"
"227","M1C1I2.2.4"
"227","M1C1R2.2"
"227","M1C1R1.9"
"227","M1C1I2.2.2"
"228","M1C1I2.2.5"
"161","M1C1R1.10"
"162","M1C1R1.10"
"163","M1C1R1.10"
"164","M1C1R1.10"
"165","M1C1R1.10"
"166","M1C1R1.10"
"167","M1C1R1.10"
"168","M1C1R1.10"
"169","M1C1R1.10"
"170","M1C1R1.10"
"171","M1C1R1.10"
"172","M1C1R1.10"
"173","M1C1R1.10"
"174","M1C1R1.10"
"175","M1C1R1.11"
"176","M1C1R1.11"
"177","M1C1R1.11"
"178","M1C1R1.11"
"179","M1C1R1.11"
"180","M1C1R1.11"
"181","M1C1R1.11"
"182","M1C1R1.11"
"183","M1C1R1.11"
"184","M1C1R1.11"
"185","M1C1R1.11"
"186","M1C1R1.11"
"187","M1C1R1.11"
"188","M1C1R1.11"
"189","M1C1R1.11"
"190","M1C1R1.11"
"191","M1C1R1.11"
"192","M1C1R1.12"
"193","M1C1R1.12"
"194","M1C1R1.12"
"195","M1C1R1.12"
"196","M1C1R1.12"
"197","M1C1R1.12"
"198","M1C1R1.12"
"199","M1C1R1.12"
"200","M1C1R1.12"
"201","M1C1R1.12"
"202","M1C1R1.12"
"203","M1C1R1.13"
"204","M1C1R1.13"
"205","M1C1R1.13"
"206","M1C1R1.13"
"207","M1C1R1.13"
"208","M1C1R1.13"
"209","M1C1R1.13"
"210","M1C1R1.14"
"211","M1C1R1.14"
"212","M1C1R1.15"
"213","M1C1R1.15"
"214","M1C1R1.15"
"2","M1C1I1.1"
"4","M1C1I1.1"
"6","M1C1I1.1"
"8","M1C1I1.2"
"10","M1C1I1.2"
"12","M1C1I1.2"
"13","M1C1I1.3.1"
"14","M1C1I1.3.1"
"16","M1C1I1.3.1"
"18","M1C1I1.3.1"
"20","M1C1I1.3.2"
"21","M1C1I1.4.1"
"24","M1C1I1.4.1"
"26","M1C1I1.4.1"
"29","M1C1I1.4.2"
"34","M1C1I1.4.3"
"38","M1C1I1.4.3"
"42","M1C1I1.4.3"
"46","M1C1I1.4.3"
"47","M1C1I1.4.5"
"48","M1C1I1.4.5"
"61","M1C1I1.4.4"
"63","M1C1I1.4.4"
"64","M1C1I1.4.5"
"69","M1C1I1.4.6"
"70","M1C1I1.4.6"
"71","M1C1I1.5"
